seq,uptime_ms,status_flags,legacy_sample,status
16329,1633070,0,,OK
16330,1633170,0,,OK
16331,1633270,0,,OK
16332,1633370,0,,OK
16333,1633470,0,,OK
16334,1633570,0,,OK
16335,1633670,0,,OK
16336,1633770,0,,OK
16337,1633870,0,,OK
16338,1633970,0,,OK
16339,1634070,0,,OK
16340,1634170,0,,OK
16341,1634270,0,,OK
16342,1634370,0,,OK
16343,1634470,0,,OK
16344,1634570,0,,OK
16345,1634670,0,,OK
16346,1634770,0,,OK
16347,1634870,0,,OK
16348,1634970,0,,OK
16349,1635070,0,,OK
16350,1635170,0,,OK
16351,1635270,0,,OK
16352,1635370,0,,OK
16353,1635470,0,,OK
16354,1635570,0,,OK
16355,1635670,0,,OK
16356,1635770,0,,OK
16357,1635870,0,,OK
16358,1635970,0,,OK
16359,1636070,0,,OK
16360,1636170,0,,OK
16361,1636270,0,,OK
16362,1636370,0,,OK
16363,1636470,0,,OK
16364,1636570,0,,OK
16365,1636670,0,,OK
16366,1636770,0,,OK
16367,1636870,0,,OK
16368,1636970,0,,OK
16369,1637070,0,,OK
16370,1637170,0,,OK
16371,1637270,0,,OK
16372,1637370,0,,OK
16373,1637470,0,,OK
16374,1637570,0,,OK
16375,1637670,0,,OK
16376,1637770,0,,OK
16377,1637870,0,,OK
16378,1637970,0,,OK
16379,1638070,0,,OK
16380,1638170,0,,OK
16381,1638270,0,,OK
16382,1638370,0,,OK
16383,1638470,0,,OK
16384,1638570,0,,OK
16385,1638670,0,,OK
16386,1638770,0,,OK
16387,1638870,0,,OK
16388,1638970,0,,OK
16389,1639070,0,,OK
16390,1639170,0,,OK
16391,1639270,0,,OK
16392,1639370,0,,OK
16393,1639470,0,,OK
16394,1639570,0,,OK
16395,1639670,0,,OK
16396,1639770,0,,OK
16397,1639870,0,,OK
16398,1639970,0,,OK
16399,1640070,0,,OK
16400,1640170,0,,OK
16401,1640270,0,,OK
16402,1640370,0,,OK
16403,1640470,0,,OK
16404,1640570,0,,OK
16405,1640670,0,,OK
16406,1640770,0,,OK
16407,1640870,0,,OK
16408,1640970,0,,OK
16409,1641070,0,,OK
16410,1641170,0,,OK
16411,1641270,0,,OK
16412,1641370,0,,OK
16413,1641470,0,,OK
16414,1641570,0,,OK
16415,1641670,0,,OK
16416,1641770,0,,OK
16417,1641870,0,,OK
16418,1641970,0,,OK
16419,1642070,0,,OK
16420,1642170,0,,OK
16421,1642270,0,,OK
16422,1642370,0,,OK
16423,1642470,0,,OK
16424,1642570,0,,OK
16425,1642670,0,,OK
16426,1642770,0,,OK
16427,1642870,0,,OK
16428,1642970,0,,OK
16429,1643070,0,,OK
16430,1643170,0,,OK
16431,1643270,0,,OK
16432,1643370,0,,OK
16433,1643470,0,,OK
16434,1643570,0,,OK
16435,1643670,0,,OK
16436,1643770,0,,OK
16437,1643870,0,,OK
16438,1643970,0,,OK
16439,1644070,0,,OK
16440,1644170,0,,OK
16441,1644270,0,,OK
16442,1644370,0,,OK
16443,1644470,0,,OK
16444,1644570,0,,OK
16445,1644670,0,,OK
16446,1644770,0,,OK
16447,1644870,0,,OK
16448,1644970,0,,OK
16449,1645070,0,,OK
16450,1645170,0,,OK
16451,1645270,0,,OK
16452,1645370,0,,OK
16453,1645470,0,,OK
16454,1645570,0,,OK
16455,1645670,0,,OK
16456,1645770,0,,OK
16457,1645870,0,,OK
16458,1645970,0,,OK
16459,1646070,0,,OK
16460,1646170,0,,OK
16461,1646270,0,,OK
16462,1646370,0,,OK
16463,1646470,0,,OK
16464,1646570,0,,OK
16465,1646670,0,,OK
16466,1646770,0,,OK
16467,1646870,0,,OK
16468,1646970,0,,OK
16469,1647070,0,,OK
16470,1647170,0,,OK
16471,1647270,0,,OK
