seq,rtt_ms,status
935,5.099400,OK
936,4.280800,OK
937,3.831300,OK
938,4.008400,OK
939,3.789100,OK
940,3.894500,OK
941,4.137100,OK
942,4.260800,OK
943,4.163800,OK
944,4.598900,OK
945,3.782500,OK
946,3.918300,OK
947,4.710100,OK
948,3.784700,OK
949,3.830000,OK
950,3.797900,OK
951,4.734100,OK
952,4.039800,OK
953,4.246800,OK
954,4.030900,OK
955,4.248700,OK
956,4.711600,OK
957,4.168000,OK
958,4.314600,OK
959,4.386000,OK
960,4.392300,OK
961,4.295500,OK
962,4.313200,OK
963,4.191400,OK
964,3.913100,OK
965,4.243500,OK
966,4.636500,OK
967,4.881900,OK
968,4.876600,OK
969,4.466600,OK
970,6.404200,OK
971,4.560800,OK
972,4.135100,OK
973,4.506500,OK
974,4.238700,OK
975,4.202200,OK
976,4.345300,OK
977,4.308900,OK
978,4.283200,OK
979,4.428100,OK
980,4.345900,OK
981,4.391800,OK
982,4.830000,OK
983,4.260500,OK
984,4.944900,OK
985,4.897100,OK
986,5.027800,OK
987,4.869500,OK
988,5.092200,OK
989,4.306600,OK
990,4.290500,OK
991,4.698300,OK
992,4.888300,OK
993,4.189600,OK
994,4.699100,OK
995,4.949200,OK
996,4.499300,OK
997,4.901500,OK
998,4.660400,OK
999,4.718500,OK
1000,4.553800,OK
1001,4.842300,OK
1002,5.437100,OK
1003,4.450900,OK
1004,4.718100,OK
1005,4.616000,OK
1006,4.620200,OK
1007,5.150100,OK
1008,4.654300,OK
1009,4.500000,OK
1010,4.407700,OK
1011,4.829600,OK
1012,4.747300,OK
1013,4.808200,OK
1014,4.917400,OK
1015,5.062700,OK
1016,4.901200,OK
1017,4.554100,OK
1018,5.297300,OK
1019,4.877000,OK
1020,4.560700,OK
1021,4.752400,OK
1022,5.115000,OK
1023,4.968100,OK
1024,5.323700,OK
1025,4.531900,OK
1026,5.222200,OK
1027,5.045000,OK
1028,4.763100,OK
1029,4.791100,OK
1030,5.408000,OK
1031,5.100100,OK
1032,5.704500,OK
1033,4.953900,OK
1034,6.255300,OK
1035,4.780400,OK
1036,5.063500,OK
1037,4.830300,OK
1038,3.780100,OK
1039,4.186900,OK
1040,3.863700,OK
1041,3.865800,OK
1042,4.457000,OK
1043,4.691700,OK
1044,3.864700,OK
1045,4.001600,OK
1046,4.073200,OK
1047,3.803600,OK
1048,3.869200,OK
1049,4.212100,OK
1050,3.802200,OK
1051,3.802900,OK
1052,3.863300,OK
1053,4.681500,OK
1054,3.864600,OK
1055,3.955600,OK
1056,4.633800,OK
1057,4.895900,OK
1058,3.937900,OK
1059,4.719400,OK
1060,4.817300,OK
1061,4.767700,OK
1062,4.737500,OK
1063,4.049200,OK
1064,3.976800,OK
1065,4.772100,OK
1066,3.959800,OK
1067,4.569500,OK
1068,4.725600,OK
1069,4.877100,OK
1070,4.077800,OK
1071,4.799800,OK
1072,4.960900,OK
1073,4.615200,OK
1074,4.810800,OK
1075,4.535800,OK
1076,4.154000,OK
1077,4.960000,OK
1078,5.839500,OK
1079,4.891700,OK
1080,4.142900,OK
1081,4.927100,OK
1082,4.684000,OK
1083,4.449400,OK
1084,4.786400,OK
1085,4.656600,OK
1086,4.876600,OK
1087,4.873800,OK
1088,4.882900,OK
1089,4.838200,OK
1090,4.092600,OK
1091,4.322700,OK
1092,4.235300,OK
1093,4.459100,OK
1094,4.156800,OK
1095,4.396200,OK
1096,4.522100,OK
1097,5.113300,OK
1098,4.338900,OK
1099,4.235000,OK
1100,4.154100,OK
1101,4.354700,OK
1102,4.282700,OK
1103,5.140000,OK
1104,4.883600,OK
1105,4.775600,OK
1106,4.785800,OK
1107,5.109000,OK
1108,4.782700,OK
1109,5.174300,OK
1110,4.857100,OK
1111,4.952900,OK
1112,4.858700,OK
1113,4.653000,OK
1114,5.186500,OK
1115,4.849500,OK
1116,4.775900,OK
1117,5.193100,OK
1118,4.721300,OK
1119,5.181600,OK
1120,5.367900,OK
1121,4.673600,OK
1122,4.530700,OK
1123,4.752000,OK
1124,4.728200,OK
1125,5.037300,OK
1126,4.721900,OK
1127,4.864800,OK
1128,4.780900,OK
1129,4.775600,OK
1130,5.034100,OK
1131,4.787700,OK
1132,4.820300,OK
1133,5.289600,OK
1134,4.782600,OK
1135,4.715900,OK
1136,5.192700,OK
1137,4.864000,OK
1138,4.709200,OK
1139,3.702000,OK
1140,3.856600,OK
1141,3.818500,OK
1142,4.165000,OK
1143,3.740700,OK
1144,4.983300,OK
1145,4.172100,OK
1146,3.765200,OK
1147,4.132500,OK
1148,4.394300,OK
1149,4.390400,OK
1150,4.654800,OK
1151,4.263000,OK
1152,4.622900,OK
1153,4.205400,OK
1154,4.446800,OK
1155,4.697600,OK
1156,4.345800,OK
1157,4.100500,OK
1158,3.912900,OK
1159,4.763500,OK
1160,4.027600,OK
1161,3.821000,OK
1162,4.004400,OK
1163,4.221200,OK
1164,4.263000,OK
1165,3.887400,OK
1166,4.344600,OK
1167,4.217200,OK
1168,4.865100,OK
1169,3.872300,OK
1170,4.644000,OK
1171,4.629900,OK
1172,4.900800,OK
1173,4.842700,OK
1174,4.655500,OK
1175,4.803800,OK
1176,4.017800,OK
1177,4.826400,OK
1178,4.980200,OK
1179,4.930100,OK
1180,4.063600,OK
1181,4.755400,OK
1182,4.973700,OK
1183,4.827500,OK
1184,4.918900,OK
1185,4.712600,OK
1186,4.882600,OK
1187,5.002200,OK
1188,4.817300,OK
1189,4.951500,OK
1190,5.085800,OK
1191,5.153200,OK
1192,5.165000,OK
1193,5.040000,OK
1194,4.836800,OK
1195,4.153800,OK
1196,4.983700,OK
1197,5.441300,OK
1198,5.039900,OK
1199,4.838600,OK
1200,4.860000,OK
1201,4.236800,OK
1202,4.790400,OK
1203,4.708200,OK
1204,4.871300,OK
1205,4.830500,OK
1206,4.650500,OK
1207,5.125500,OK
1208,5.037900,OK
1209,5.068400,OK
1210,4.821300,OK
1211,5.063400,OK
1212,5.031300,OK
1213,4.420900,OK
1214,5.001000,OK
1215,5.306000,OK
1216,4.864200,OK
1217,5.286400,OK
1218,5.193600,OK
1219,5.188400,OK
1220,4.961900,OK
1221,4.893600,OK
1222,5.058400,OK
1223,5.108000,OK
1224,4.839300,OK
1225,4.833300,OK
1226,5.402200,OK
1227,5.031800,OK
1228,5.047100,OK
1229,4.887600,OK
1230,5.090100,OK
1231,5.134900,OK
1232,4.904000,OK
1233,6.106900,OK
1234,5.013200,OK
1235,5.145000,OK
1236,4.829600,OK
1237,4.807100,OK
1238,5.013100,OK
1239,5.255600,OK
1240,3.982500,OK
1241,4.083300,OK
1242,4.217500,OK
1243,3.947800,OK
1244,4.659200,OK
1245,4.551500,OK
1246,4.053100,OK
1247,4.505500,OK
1248,4.531800,OK
1249,4.170500,OK
1250,4.070900,OK
1251,3.768600,OK
1252,3.882600,OK
1253,4.174300,OK
1254,4.454800,OK
1255,4.183000,OK
1256,4.027000,OK
1257,4.753700,OK
1258,4.101100,OK
1259,4.007500,OK
1260,4.748800,OK
1261,3.979600,OK
1262,4.783800,OK
1263,4.157400,OK
1264,4.163400,OK
1265,4.275600,OK
1266,4.507400,OK
1267,4.242800,OK
1268,4.277500,OK
1269,3.840300,OK
1270,4.419400,OK
1271,4.225500,OK
1272,4.237700,OK
1273,4.350100,OK
