seq,uptime_ms,status_flags,legacy_sample,status
18675,1867671,0,,OK
18676,1867771,0,,OK
18677,1867871,0,,OK
18678,1867971,0,,OK
18679,1868071,0,,OK
18680,1868171,0,,OK
18681,1868271,0,,OK
18682,1868371,0,,OK
18683,1868471,0,,OK
18684,1868571,0,,OK
18685,1868671,0,,OK
18686,1868771,0,,OK
18687,1868871,0,,OK
18688,1868971,0,,OK
18689,1869071,0,,OK
18690,1869171,0,,OK
18691,1869271,0,,OK
18692,1869371,0,,OK
18693,1869471,0,,OK
18694,1869571,0,,OK
18695,1869671,0,,OK
18696,1869771,0,,OK
18697,1869871,0,,OK
18698,1869971,0,,OK
18699,1870071,0,,OK
18700,1870171,0,,OK
18701,1870271,0,,OK
18702,1870371,0,,OK
18703,1870471,0,,OK
18704,1870571,0,,OK
18705,1870671,0,,OK
18706,1870771,0,,OK
18707,1870871,0,,OK
18708,1870971,0,,OK
18709,1871071,0,,OK
18710,1871171,0,,OK
18711,1871271,0,,OK
18712,1871371,0,,OK
18713,1871471,0,,OK
18714,1871571,0,,OK
18715,1871671,0,,OK
18716,1871771,0,,OK
18717,1871871,0,,OK
18718,1871971,0,,OK
18719,1872071,0,,OK
18720,1872171,0,,OK
18721,1872271,0,,OK
18722,1872371,0,,OK
18723,1872471,0,,OK
18724,1872571,0,,OK
18725,1872671,0,,OK
18726,1872771,0,,OK
18727,1872871,0,,OK
18728,1872971,0,,OK
18729,1873071,0,,OK
18730,1873171,0,,OK
18731,1873271,0,,OK
18732,1873371,0,,OK
18733,1873471,0,,OK
18734,1873571,0,,OK
18735,1873671,0,,OK
18736,1873771,0,,OK
18737,1873871,0,,OK
18738,1873971,0,,OK
18739,1874071,0,,OK
18740,1874171,0,,OK
18741,1874271,0,,OK
18742,1874371,0,,OK
18743,1874471,0,,OK
18744,1874571,0,,OK
18745,1874671,0,,OK
18746,1874771,0,,OK
18747,1874871,0,,OK
18748,1874971,0,,OK
18749,1875071,0,,OK
18750,1875171,0,,OK
18751,1875271,0,,OK
18752,1875371,0,,OK
18753,1875471,0,,OK
18754,1875571,0,,OK
18755,1875671,0,,OK
18756,1875771,0,,OK
18757,1875871,0,,OK
18758,1875971,0,,OK
18759,1876071,0,,OK
18760,1876171,0,,OK
18761,1876271,0,,OK
18762,1876371,0,,OK
18763,1876471,0,,OK
18764,1876571,0,,OK
18765,1876671,0,,OK
18766,1876771,0,,OK
18767,1876871,0,,OK
18768,1876971,0,,OK
18769,1877071,0,,OK
18770,1877171,0,,OK
18771,1877271,0,,OK
18772,1877371,0,,OK
18773,1877471,0,,OK
18774,1877571,0,,OK
18775,1877671,0,,OK
18776,1877771,0,,OK
18777,1877871,0,,OK
18778,1877971,0,,OK
18779,1878071,0,,OK
18780,1878171,0,,OK
18781,1878271,0,,OK
18782,1878371,0,,OK
18783,1878471,0,,OK
18784,1878571,0,,OK
18785,1878671,0,,OK
18786,1878771,0,,OK
18787,1878871,0,,OK
18788,1878971,0,,OK
18789,1879071,0,,OK
18790,1879171,0,,OK
18791,1879271,0,,OK
18792,1879371,0,,OK
18793,1879471,0,,OK
18794,1879571,0,,OK
18795,1879671,0,,OK
18796,1879771,0,,OK
18797,1879871,0,,OK
18798,1879971,0,,OK
18799,1880071,0,,OK
18800,1880171,0,,OK
18801,1880271,0,,OK
18802,1880371,0,,OK
18803,1880471,0,,OK
18804,1880571,0,,OK
18805,1880671,0,,OK
18806,1880771,0,,OK
18807,1880871,0,,OK
18808,1880971,0,,OK
18809,1881071,0,,OK
18810,1881171,0,,OK
18811,1881271,0,,OK
18812,1881371,0,,OK
18813,1881471,0,,OK
18814,1881571,0,,OK
18815,1881671,0,,OK
18816,1881771,0,,OK
18817,1881871,0,,OK
18818,1881971,0,,OK
18819,1882071,0,,OK
18820,1882171,0,,OK
18821,1882271,0,,OK
18822,1882371,0,,OK
18823,1882471,0,,OK
18824,1882571,0,,OK
18825,1882671,0,,OK
18826,1882771,0,,OK
18827,1882871,0,,OK
18828,1882971,0,,OK
18829,1883071,0,,OK
18830,1883171,0,,OK
18831,1883271,0,,OK
18832,1883371,0,,OK
18833,1883471,0,,OK
18834,1883571,0,,OK
18835,1883671,0,,OK
18836,1883771,0,,OK
18837,1883871,0,,OK
18838,1883971,0,,OK
18839,1884071,0,,OK
18840,1884171,0,,OK
18841,1884271,0,,OK
18842,1884371,0,,OK
18843,1884471,0,,OK
18844,1884571,0,,OK
18845,1884671,0,,OK
18846,1884771,0,,OK
18847,1884871,0,,OK
18848,1884971,0,,OK
18849,1885071,0,,OK
18850,1885171,0,,OK
18851,1885271,0,,OK
18852,1885371,0,,OK
18853,1885471,0,,OK
18854,1885571,0,,OK
18855,1885671,0,,OK
18856,1885771,0,,OK
18857,1885871,0,,OK
18858,1885971,0,,OK
18859,1886071,0,,OK
18860,1886171,0,,OK
18861,1886271,0,,OK
18862,1886371,0,,OK
18863,1886471,0,,OK
18864,1886571,0,,OK
18865,1886671,0,,OK
18866,1886771,0,,OK
18867,1886871,0,,OK
18868,1886971,0,,OK
18869,1887071,0,,OK
18870,1887171,0,,OK
18871,1887271,0,,OK
18872,1887371,0,,OK
18873,1887471,0,,OK
18874,1887571,0,,OK
18875,1887671,0,,OK
18876,1887771,0,,OK
18877,1887871,0,,OK
18878,1887971,0,,OK
18879,1888071,0,,OK
18880,1888171,0,,OK
18881,1888271,0,,OK
18882,1888371,0,,OK
18883,1888471,0,,OK
18884,1888571,0,,OK
18885,1888671,0,,OK
18886,1888771,0,,OK
18887,1888871,0,,OK
18888,1888971,0,,OK
18889,1889071,0,,OK
18890,1889171,0,,OK
18891,1889271,0,,OK
18892,1889371,0,,OK
18893,1889471,0,,OK
18894,1889571,0,,OK
18895,1889671,0,,OK
18896,1889771,0,,OK
18897,1889871,0,,OK
18898,1889971,0,,OK
18899,1890071,0,,OK
18900,1890171,0,,OK
18901,1890271,0,,OK
18902,1890371,0,,OK
18903,1890471,0,,OK
18904,1890571,0,,OK
18905,1890671,0,,OK
18906,1890771,0,,OK
18907,1890871,0,,OK
18908,1890971,0,,OK
18909,1891071,0,,OK
18910,1891171,0,,OK
18911,1891271,0,,OK
18912,1891371,0,,OK
18913,1891471,0,,OK
18914,1891571,0,,OK
18915,1891671,0,,OK
